STATION,DATE,DLY-AVG-NORMAL,
USW00023062,04-05,44.6,
USW00023062,04-06,44.8,
USW00023062,04-07,45.1,
USW00023062,04-08,45.3,
USW00023062,04-09,45.6,
USW00023062,04-10,45.8,
USW00023062,04-11,46.1,
USW00023062,04-12,46.3,
USW00023062,04-13,46.6,
USW00023062,04-14,46.9,
USW00023062,04-15,47.2,
USW00023062,04-16,47.5,
USW00023062,04-17,47.8,
USW00023062,04-18,48.1,
USW00023062,04-19,48.4,
USW00023062,04-20,48.7,
USW00023062,04-21,49.0,
USW00023062,04-22,49.4,
USW00023062,04-23,49.7,
USW00023062,04-24,50.0,
USW00023062,04-25,50.3,
USW00023062,04-26,50.7,
USW00023062,04-27,51.0,
USW00023062,04-28,51.3,
USW00023062,04-29,51.7,
USW00023062,04-30,52.0,
USW00023062,05-01,52.3,
USW00023062,05-02,52.7,
USW00023062,05-03,53.0,
USW00023062,05-04,53.3,
USW00023062,05-05,53.7,
USW00023062,05-06,54.0,
USW00023062,05-07,54.3,
USW00023062,05-08,54.7,
USW00023062,05-09,55.0,
USW00023062,05-10,55.3,
USW00023062,05-11,55.6,
USW00023062,05-12,55.9,
USW00023062,05-13,56.3,
USW00023062,05-14,56.6,
USW00023062,05-15,56.9,
USW00023062,05-16,57.2,
USW00023062,05-17,57.5,
USW00023062,05-18,57.8,
USW00023062,05-19,58.2,
USW00023062,05-20,58.5,
USW00023062,05-21,58.8,
USW00023062,05-22,59.1,
USW00023062,05-23,59.4,
USW00023062,05-24,59.7,
USW00023062,05-25,60.0,
USW00023062,05-26,60.3,
USW00023062,05-27,60.6,
USW00023062,05-28,60.9,
USW00023062,05-29,61.2,
USW00023062,05-30,61.5,
USW00023062,05-31,61.9,
USW00023062,06-01,62.2,
USW00023062,06-02,62.5,
USW00023062,06-03,62.8,
USW00023062,06-04,63.1,
USW00023062,06-05,63.5,
USW00023062,06-06,63.8,
USW00023062,06-07,64.1,
USW00023062,06-08,64.5,
USW00023062,06-09,64.8,
USW00023062,06-10,65.2,
USW00023062,06-11,65.5,
USW00023062,06-12,65.9,
USW00023062,06-13,66.2,
USW00023062,06-14,66.6,
USW00023062,06-15,66.9,
USW00023062,06-16,67.3,
USW00023062,06-17,67.6,
USW00023062,06-18,68.0,
USW00023062,06-19,68.3,
USW00023062,06-20,68.6,
USW00023062,06-21,69.0,
USW00023062,06-22,69.3,
USW00023062,06-23,69.6,
USW00023062,06-24,69.9,
USW00023062,06-25,70.2,
USW00023062,06-26,70.5,
USW00023062,06-27,70.8,
USW00023062,06-28,71.1,
USW00023062,06-29,71.4,
USW00023062,06-30,71.6,
USW00023062,07-01,71.9,
USW00023062,07-02,72.1,
USW00023062,07-03,72.4,
USW00023062,07-04,72.6,
USW00023062,07-05,72.8,
USW00023062,07-06,73.0,
USW00023062,07-07,73.1,
USW00023062,07-08,73.3,
USW00023062,07-09,73.4,
USW00023062,07-10,73.6,
USW00023062,07-11,73.7,
USW00023062,07-12,73.8,
USW00023062,07-13,73.9,
USW00023062,07-14,74.0,
USW00023062,07-15,74.0,
USW00023062,07-16,74.1,
USW00023062,07-17,74.2,
USW00023062,07-18,74.2,
USW00023062,07-19,74.2,
USW00023062,07-20,74.2,
USW00023062,07-21,74.2,
USW00023062,07-22,74.2,
USW00023062,07-23,74.2,
USW00023062,07-24,74.1,
USW00023062,07-25,74.1,
USW00023062,07-26,74.0,
USW00023062,07-27,74.0,
USW00023062,07-28,73.9,
USW00023062,07-29,73.8,
USW00023062,07-30,73.8,
USW00023062,07-31,73.7,
USW00023062,08-01,73.6,
USW00023062,08-02,73.5,
USW00023062,08-03,73.5,
USW00023062,08-04,73.4,
USW00023062,08-05,73.3,
USW00023062,08-06,73.1,
USW00023062,08-07,73.0,
USW00023062,08-08,72.9,
USW00023062,08-09,72.8,
USW00023062,08-10,72.7,
USW00023062,08-11,72.5,
USW00023062,08-12,72.4,
USW00023062,08-13,72.3,
USW00023062,08-14,72.1,
USW00023062,08-15,72.0,
USW00023062,08-16,71.9,
USW00023062,08-17,71.7,
USW00023062,08-18,71.5,
USW00023062,08-19,71.3,
USW00023062,08-20,71.2,
USW00023062,08-21,71.0,
USW00023062,08-22,70.7,
USW00023062,08-23,70.6,
USW00023062,08-24,70.3,
USW00023062,08-25,70.1,
USW00023062,08-26,69.9,
USW00023062,08-27,69.6,
USW00023062,08-28,69.4,
USW00023062,08-29,69.1,
USW00023062,08-30,68.8,
USW00023062,08-31,68.5,
USW00023062,09-01,68.2,
USW00023062,09-02,67.9,
USW00023062,09-03,67.6,
USW00023062,09-04,67.2,
USW00023062,09-05,66.8,
USW00023062,09-06,66.5,
USW00023062,09-07,66.1,
USW00023062,09-08,65.7,
USW00023062,09-09,65.3,
USW00023062,09-10,64.9,
USW00023062,09-11,64.5,
USW00023062,09-12,64.1,
USW00023062,09-13,63.6,
USW00023062,09-14,63.2,
USW00023062,09-15,62.7,
USW00023062,09-16,62.3,
USW00023062,09-17,61.9,
USW00023062,09-18,61.4,
USW00023062,09-19,61.0,
USW00023062,09-20,60.5,
USW00023062,09-21,60.0,
USW00023062,09-22,59.6,
USW00023062,09-23,59.1,
USW00023062,09-24,58.7,
USW00023062,09-25,58.2,
USW00023062,09-26,57.8,
USW00023062,09-27,57.3,
USW00023062,09-28,56.9,
USW00023062,09-29,56.4,
USW00023062,09-30,56.0,
USW00023062,10-01,55.6,
USW00023062,10-02,55.2,
USW00023062,10-03,54.8,
USW00023062,10-04,54.4,
USW00023062,10-05,54.0,
USW00023062,10-06,53.6,
USW00023062,10-07,53.3,
USW00023062,10-08,52.9,
USW00023062,10-09,52.6,
USW00023062,10-10,52.2,
USW00023062,10-11,51.8,
USW00023062,10-12,51.5,
USW00023062,10-13,51.2,
USW00023062,10-14,50.9,
USW00023062,10-15,50.6,
USW00023062,10-16,50.2,
USW00023062,10-17,49.9,
USW00023062,10-18,49.6,
USW00023062,10-19,49.3,
USW00023062,10-20,49.0,
USW00023062,10-21,48.7,
USW00023062,10-22,48.3,
USW00023062,10-23,48.0,
USW00023062,10-24,47.7,
USW00023062,10-25,47.4,
USW00023062,10-26,47.0,
USW00023062,10-27,46.7,
USW00023062,10-28,46.4,
USW00023062,10-29,46.0,
USW00023062,10-30,45.7,
USW00023062,10-31,45.3,
USW00023062,11-01,45.0,
USW00023062,11-02,44.5,
USW00023062,11-03,44.2,
USW00023062,11-04,43.8,
USW00023062,11-05,43.3,
USW00023062,11-06,42.9,
USW00023062,11-07,42.5,
USW00023062,11-08,42.0,
USW00023062,11-09,41.6,
USW00023062,11-10,41.2,
USW00023062,11-11,40.7,
USW00023062,11-12,40.3,
USW00023062,11-13,39.8,
USW00023062,11-14,39.4,
USW00023062,11-15,38.8,
USW00023062,11-16,38.4,
USW00023062,11-17,37.9,
USW00023062,11-18,37.4,
USW00023062,11-19,37.0,
USW00023062,11-20,36.5,
USW00023062,11-21,36.1,
USW00023062,11-22,35.6,
USW00023062,11-23,35.1,
USW00023062,11-24,34.7,
USW00023062,11-25,34.3,
USW00023062,11-26,33.9,
USW00023062,11-27,33.5,
USW00023062,11-28,33.1,
USW00023062,11-29,32.7,
USW00023062,11-30,32.4,
USW00023062,12-01,32.0,
USW00023062,12-02,31.7,
USW00023062,12-03,31.4,
USW00023062,12-04,31.2,
USW00023062,12-05,30.9,
USW00023062,12-06,30.7,
USW00023062,12-07,30.4,
USW00023062,12-08,30.2,
USW00023062,12-09,30.1,
USW00023062,12-10,29.9,
USW00023062,12-11,29.8,
USW00023062,12-12,29.6,
USW00023062,12-13,29.5,
USW00023062,12-14,29.5,
USW00023062,12-15,29.4,
USW00023062,12-16,29.4,
USW00023062,12-17,29.4,
USW00023062,12-18,29.3,
USW00023062,12-19,29.4,
USW00023062,12-20,29.4,
USW00023062,12-21,29.4,
USW00023062,12-22,29.5,
USW00023062,12-23,29.5,
USW00023062,12-24,29.6,
USW00023062,12-25,29.7,
USW00023062,12-26,29.7,
USW00023062,12-27,29.8,
USW00023062,12-28,29.9,
USW00023062,12-29,30.0,
USW00023062,12-30,30.1,
USW00023062,12-31,30.2,
,,,
